English_Term,Malayalam_Translation
blood transfusion,രക്തം മാറ്റിവെക്കൽ
blurred vision,കാഴ്ച മങ്ങൽ
bone marrow,മജ്ജ
bradycardia,കുറഞ്ഞ ഹൃദയമിടിപ്പ്
breath,ശബ്ദം
bronchitis,ശ്യാസനാളിയിലെ വീക്കം
buttock,നിതംബം
calcium,കാൽസ്യം
capillary,സൂക്ഷ്മരക്തക്കുഴൽ
cardiac arrest,ഹൃദയസ്തംഭനം
cardiac health,ഹൃദയാരോഗ്യ സ്ഥിതി
cardiology,ഹൃദയരോഗ വിഭാഗം
cartilage,തരുണാസ്ഥി
catheter,ട്യൂബ്
cataract,തിമിരം
cavity,കുഴി
cellulitis,ത്വക്കിലെ അണുബാധ
cerebral,തലച്ചോറുമായി ബന്ധപ്പെട്ട
cervical,കഴുത്തിലെ
chest tightness,നെഞ്ചിൽ മുറുക്കം
chest,നെഞ്ച്
chills,വിറയൽ
chronic migraine,വിട്ടുമാറാത്ത മൈഗ്രേൻ
chronic sinusitis,വിട്ടുമാറാത്ത സൈനസൈറ്റിസ്
chronic,വിട്ടുമാറാത്ത
circulation,രക്തചംക്രമണം
cirrhosis,കരൾ വീക്കം
clinic,വിഭാഗം
clinical examination,ശാരീരിക പരിശോധന
clot,രക്തം കട്ടപിടിക്കൽ
cognitive,ബുദ്ധിപരമായ
colonoscopy,കുടൽ പരിശോധന
coma,അബോധാവസ്ഥ
complicate,സങ്കീർണ്ണമാക്കുന്നു
compliance,നിഷ്ഠയോടെയുള്ള മരുന്നുപയോഗം
concussion,തലയ്ക്കേറ്റ പരിക്ക്
confirmed,കണ്ടെത്തി
congenital,ജന്മനായുള്ള
congestion,മൂക്കടപ്പ്
conjunctivitis,കണ്ണുരോഗം
consistent,കൃത്യമായ
constipation,മലബന്ധം
consultation,ആലോചന
contagious,പകരുന്ന
contusion,ചതവ്
convulsions,അപസ്മാരം
cornea,കണ്ണിലെ പാളി
coronary,ഹൃദയാരോഗ്യം
cramp,പേശിവലിവ്
creatinine,ക്രിയാറ്റിനിൻ
crushing,കഠിനമായ
cyst,മുഴ
dark urine,കടും നിറത്തിലുള്ള മൂത്രം
deafness,ചെവി കേൾക്കാത്ത അവസ്ഥ
deceased,മരിച്ച
decreased GFR,വൃക്കയുടെ പ്രവർത്തനക്ഷമത കുറഞ്ഞ നിലയിൽ
decreased,കുറഞ്ഞ
deep vein thrombosis,സിരകളിലെ രക്തം കട്ടപിടിക്കൽ
deficiency,കുറവ്
dehydration,നിർജ്ജലീകരണം
dementia,മറവിരോഗം
department,വിഭാഗം
depression,വിഷാദം
dermatology,ത്വക്ക് രോഗ വിഭാഗം
diagnosis indicates,രോഗനിർണ്ണയ ഫലം സൂചിപ്പിക്കുന്നത്
diagnosed five years ago,അഞ്ച് വർഷം മുമ്പ് രോഗം സ്ഥിരീകരിച്ചു
diagnosed,രോഗം സ്ഥിരീകരിച്ചു
dialysis,ഡയാലിസിസ്
diaphoresis,വിയർപ്പ്
diarrhea,വയറിലക്കം
diet,ഭക്ഷണക്രമം
difficult to control,നിയന്ത്രിക്കാൻ ബുദ്ധിമുട്ടുള്ള
digestion,ദഹനം
dizziness,തലകറക്കം
doctor s note,ഡോക്ടറുടെ കുറിപ്പ്
doppler Ultrasound,ഡോപ്ലർ അൾട്രാസൗണ്ട്
double Vision,കാഴ്ച രണ്ടായി കാണുക
drainage,സ്രവം
drowsiness,മയക്കം
dVT,ഡി.വി.ടി
dyspnea,ശ്വാസംമുട്ടൽ
early signs,പ്രാരംഭ ലക്ഷണങ്ങൾ
echocardiogram,ഹൃദയ പരിശോധന
eczema,ത്വക്കിലെ ചൊറിച്ചിൽ
edema,നീര്
elderly,പ്രായമായ
electrocardiogram,ഇ.സി.ജി
elevated bilirubin,ബിലിറൂബിന്റെ അളവ് വർദ്ധിച്ച നിലയിൽ
elevated,വർദ്ധിച്ച
embolism,രക്തക്കുഴലിലെ തടസ്സം
emergency,അത്യാഹിത വിഭാഗം
endoscopy,എൻഡോസ്കോപ്പി
enzyme,എൻസൈം
epidemic,പകർച്ചവ്യാധി
epilepsy,അപസ്മാരം
epley maneuver,എപ്ലി മാനുവർ
erenumab,എറെനുമാബ്
essential hypertension,രക്തസമ്മർദ്ദം
evaluation,പരിശോധന
exertion,അമിതാധ്വാനം
eye exam,നേത്ര പരിശോധന
fainting,ബോധക്ഷയം
fallopian,ഗർഭപാത്ര നാളി
fatigue,ശക്തമായ ക്ഷീണം
febrile,പനി ഉള്ള അവസ്ഥ
fibrosis,കലകളുടെ തഴമ്പ്
findings,കണ്ടെത്തലുകൾ
first aid,പ്രഥമശുശ്രൂഷ
flu,പനി
fracture,അസ്ഥി ഒടിവ്
function,പ്രവർത്തനം
gallbladder,പിത്തസഞ്ചി
gastritis,ഗ്യാസ്ട്രൈറ്റിസ്
generic,സാധാരണമായ
geriatrics,വാർദ്ധക്യകാല ചികിത്സ
gestation,ഗർഭകാലം
gingivitis,മോണരോഗം
gland,ഗ്രന്ഥി
glaucoma,ഗ്ലോക്കോമ
glucose,ഗ്ലൂക്കോസ്
glycemic control,രക്തത്തിലെ പഞ്ചസാരയുടെ അളവ് നിയന്ത്രിക്കാൻ
gout,വാതം
growth,വളർച്ച
gums,മോണ
gynecology,സ്ത്രീരോഗ വിഭാഗം
hbA1c level,രക്തത്തിലെ പഞ്ചസാരയുടെ ശരാശരി അളവ്
healthy status,ആരോഗ്യവാനായ അവസ്ഥ
hearing aid,ശ്രവണ സഹായി
heart failure,ഹൃദയസ്തംഭനം
heartburn,നെഞ്ചെരിച്ചിൽ
hematoma,രക്തം കട്ടപിടിച്ച മുഴ
hemoglobin,ഹീമോഗ്ലോബിൻ
hemorrhage,രക്തസ്രാവം
hepatitis,ഹെപ്പറ്റൈറ്റിസ്
hernia,ഹെർണിയ
high blood pressure,ഉയർന്ന രക്തസമ്മർദ്ദം
hip,ഇടുപ്പ്
history of,രോഗചരിത്രമുണ്ട്
history,ചരിത്രം
hormone,ഹോർമോൺ
hospice,സാന്ത്വന ചികിത്സ
hospitalization,ആശുപത്രിയിൽ പ്രവേശിപ്പിക്കൽ
hydration,ശരീരത്തിലെ ജലാംശം
hypertension,ഉയർന്ന രക്തസമ്മർദ്ദം
hypoglycemic,പ്രമേഹത്തിനുള്ള മരുന്നുകൾ
hypothermia,ശരീരതാപം കുറയുന്ന അവസ്ഥ
hysterectomy,ഗർഭപാത്രം നീക്കം ചെയ്യൽ
immunity,രോഗപ്രതിരോധ ശേഷി
immunization,പ്രതിരോധ കുത്തിവെപ്പ്
immediately,ഉടൻ
incision,മുറിവ്
incontinence,മൂത്രം നിയന്ത്രിക്കാൻ കഴിയാത്ത അവസ്ഥ
incubation,രോഗം വളരുന്ന സമയം
indigestion,അജീർണ്ണം
infarction,ഹൃദയാഘാതം
infection,അണുബാധ
inflammation,വീക്കം
inhaler,ഇൻഹേലർ
inherited,പാരമ്പര്യമായ
injection,കുത്തിവെപ്പ്
injury,പരിക്ക്
insomnia,ഉറക്കമില്ലായ്മ
insulin,ഇൻസുലിൻ
intensive care,തീവ്രപരിചരണ വിഭാഗം
intervention,ഇടപെടൽ
intestine,കുടൽ
intravenous,ഞരമ്പിലൂടെയുള്ള
ischemia,രക്തയോട്ടം കുറയൽ
isolation,മാറ്റിപ്പാർപ്പിക്കൽ
iV fluids,ഞരമ്പിലൂടെയുള്ള ദ്രാവകം
jaundice,മഞ്ഞപ്പിത്തം
joint,സന്ധി
kidney stone,വൃക്കയിലെ കല്ല്
kidney,വൃക്ക
knee,മുട്ട്
known history,രോഗചരിത്രമുള്ള
labor,പ്രസവം
laboratory,ലബോറട്ടറി
laceration,ആഴത്തിലുള്ള മുറിവ്
lady,സ്ത്രീ
larynx,ശബ്ദനാളം
laxative,മലശോധനയ്ക്കുള്ള മരുന്ന്
lesion,ത്വക്കിലെ മാറ്റം
lethargy,തളർച്ച
leukemia,രക്തത്തിലെ കാൻസർ
lifestyle,ജീവിതശൈലി
ligament,ലിഗമെന്റ്
limit salt,ഉപ്പിന്റെ ഉപയോഗം കുറയ്ക്കുക
limit,നിയന്ത്രിക്കുക
limbs,അവയവങ്ങൾ
liver function,കരളിന്റെ പ്രവർത്തനം
liver,കരൾ
localized,ഒരു പ്രത്യേക ഭാഗത്തുള്ള
lower back pain,നടുവേദന
lower limbs,കാലുകൾ
lower right,താഴെ വലതുവശത്ത്
lumbar puncture,നട്ടെല്ലിലെ പരിശോധന
lumbar spine,നട്ടെല്ലിന്റെ താഴത്തെ ഭാഗം
lung cancer,ശ്വാസകോശ കാൻസർ
lung,ശ്വാസകോശം
lying,കിടക്കുക
lymph node,ലസികാഗ്രന്ഥി
malaise,അസ്വസ്ഥത
male,പുരുഷൻ
malignant,അപകടകാരിയായ
malnutrition,പോഷകാഹാരക്കുറവ്
management plan,ചികിത്സാ പദ്ധതി
management of,ചികിത്സയ്ക്കായി
meals,ഭക്ഷണം
medication,മരുന്ന്
medicine,മരുന്ന്
mellitus,മെലിറ്റസ്
mentions,സൂചിപ്പിച്ചു
metabolism,മെറ്റബോളിസം
metastasis,രോഗം പകരുന്നത്
migraine,മൈഗ്രേൻ
mild infection,നേരിയ അണുബാധ
mild,നേരിയ
monitoring,നിരീക്ഷണം
multiple therapies,വിവിധ ചികിത്സാരീതികൾ
muscle,പേശി
myocardial,ഹൃദയസംബന്ധിയായ
nausea,മനംപുരട്ടൽ
nebulization,നെബുലൈസേഷൻ
neck,കഴുത്ത്
necrosis,കോശങ്ങളുടെ മരണം
neonate,നവജാതശിശു
nephrology,വൃക്കരോഗ വിഭാഗം
nerve,നാഡി
neurology,നാഡീരോഗ വിഭാഗം
neuropathy,നാഡീരോഗം
neurosurgery,നാഡീശസ്ത്രക്രിയ
night,രാത്രി
non-proliferative,നോൺ-പ്രൊലിഫെറേറ്റീവ്
numbness,മരവിപ്പ്
nutrient,പോഷകം
nutrition,പോഷകാഹാരം
obesity,അമിതവണ്ണം
obstetrics,പ്രസവചികിത്സാ വിഭാഗം
obstruction,തടസ്സം
oncology,കാൻസർ രോഗ വിഭാഗം
operation,ശസ്ത്രക്രിയ
ophthalmology,നേത്രരോഗ വിഭാഗം
oral medication,കഴിക്കുന്ന മരുന്നുകൾ
organ,അവയവം
orthopedics,അസ്ഥിരോഗ വിഭാഗം
osteoporosis,അസ്ഥികൾ ബലഹീനമാകുന്നത്
otology,കർണ്ണരോഗ വിഭാഗം
outline,തയ്യാറാക്കുക
outpatient,ഒ.പി വിഭാഗം
ovary,അണ്ഡാശയം
overweight,അമിതഭാരം
oxygen saturation,രക്തത്തിലെ ഓക്സിജൻ്റെ അളവ്
oxygen,ഓക്സിജൻ
pacemaker,പേസ്മേക്കർ
pain,വേദന
pale stools,വിളറിയ നിറത്തിലുള്ള മലം
palliative,സാന്ത്വന ചികിത്സ
palpitations,നെഞ്ചിടിപ്പ്
pancreas,ആഗ്നേയഗ്രന്ഥി
pandemic,ആഗോള പകർച്ചവ്യാധി
pantoprazole,പാന്റോപ്രാസോൾ
paracetamol,പാരാസെറ്റമോൾ
paralysis,പക്ഷാഘാതം
parasite,പരാദജീവി
pedal,പാദങ്ങളിലെ
pediatrics,ശിശുരോഗ വിഭാഗം
pelvis,ഇടുപ്പ് ഭാഗം
penicillin,പെൻസിലിൻ
peptic ulcer,അൾസർ
peripheral,പെരിഫറൽ
persistent cough,വിട്ടുമാറാത്ത ചുമ
persistent,തുടർച്ചയായ
pharynx,തൊണ്ട
physical activity,കഠിനമായ വ്യായാമം
physical therapy,ഫിസിയോതെറാപ്പി
physician,ഡോക്ടർ
pitting edema,അമരുമ്പോൾ കുഴിയുണ്ടാകുന്ന നീര്
placebo,ഡമ്മി മരുന്ന്
plasma,പ്ലാസ്മ
pneumonia,ന്യുമോണിയ
poison,വിഷം
post-operative,ശസ്ത്രക്രിയയ്ക്ക് ശേഷമുള്ള
potassium,പൊട്ടാസ്യം
prednisone,പ്രെഡ്നിസോൺ
pregnancy,ഗർഭം
premature,മാസം തികയാത്ത
prescription,കുറിപ്പടി
presented with,ലക്ഷണങ്ങളോടെ എത്തി
pressure,മർദ്ദം
prevention,പ്രതിരോധം
primary care,പ്രായാമിക ചികിത്സ
prognosis,രോഗസാധ്യത
prostate,പ്രോസ്റ്റേറ്റ്
protein,പ്രോട്ടീൻ
proton-pump,മരുന്നുകൾ
pulse,നാഡിമിടിപ്പ്
pus,പഴുപ്പ്
quadrant,ഭാഗം
quarantine,ക്വാറന്റൈൻ
radiating to,വ്യാപിക്കുന്ന രീതിയിൽ
radiation,റേഡിയേഷൻ
radiology,റേഡിയോളജി വിഭാഗം
rash,തൊലിപ്പുറത്തെ തിണർപ്പ്
recovery,രോഗമുക്തി
rectum,മലദ്വാരം
redness,ചുവപ്പ് നിറം
reflux,തിരിച്ചുവരവ്
regurgitation,പുറത്തേക്ക് വരുക
rehabilitation,പുനരധിവാസം
relapse,രോഗം വീണ്ടും വരുന്നത്
relief,ആശ്വാസം
remission,താൽക്കാലിക ആശ്വാസം
renal diet,വൃക്കയുടെ ആരോഗ്യത്തിനായുള്ള ഭക്ഷണക്രമം
renal,വൃക്കസംബന്ധമായ
reports,സൂചിപ്പിച്ചു
respiration,ശ്വാസകോശ പ്രവർത്തനം
respiratory status,ശ്വസന നില
respiratory,ശ്വസന
resuscitation,ജീവൻ രക്ഷിക്കാനുള്ള ശ്രമം
retina,റെറ്റിന
retinopathy,റെറ്റിനോപ്പതി
revealed,കണ്ടെത്തി
rheumatism,വാതം
rule out,സാധ്യത പരിശോധിക്കാൻ
rupture,പൊട്ടൽ
saline,സലൈൻ
saliva,ഉമിനീർ
salt,ഉപ്പ്
scattered,വിവിധ ഭാഗങ്ങളിലായുള്ള
schizophrenia,മാനസിക വിഭ്രാന്തി
sciatica,സയാറ്റിക്ക
sclerosis,കലകളുടെ കടുപ്പം
screening,പരിശോധന
sedative,ഉറക്കഗുളിക
sedentary,വ്യായാമമില്ലാത്ത
seizure,അപസ്മാരം
sepsis,രക്തത്തിലെ അണുബാധ
serum creatinine,രക്തത്തിലെ ക്രിയാറ്റിനിൻ
severe persistent asthma,കഠിനമായ ആസ്ത്മ
severe,കഠിനമായ
shivering,വിറയൽ
shock,ഷോക്ക്
shortness,കുറവ്
side effect,പാർശ്വഫലം
significant issues,പ്രധാനപ്പെട്ട ആരോഗ്യപ്രശ്നങ്ങൾ
sinus,സൈനസ്
skin,ത്വക്ക്
sleep apnea,ഉറക്കത്തിലെ ശ്വാസതടസ്സം
sneezing,തുമ്മൽ
sodium,സോഡിയം
spasm,പേശിവലിവ്
specialist,വിദഗ്ദ്ധൻ
speech therapy,സംസാര വൈകല്യ ചികിത്സ
spicy,എരിവുള്ള
spinal cord,സുഷുമ്നാനാഡി
spine,നട്ടെല്ല്
spleen,പ്ലീഹ
sputum,കഫം
stent,സ്റ്റെന്റ്
sterile,അണുവിമുക്തമായ
stethoscope,സ്റ്റെതസ്കോപ്പ്
stiffness,കടുപ്പം
stimulant,ഉത്തേജകം
stomach,വയർ
stools,മലം
strain,പേശി ആയാസം
strep throat,തൊണ്ടയിലെ അണുബാധ
stress,സമ്മർദ്ദം
stroke,പക്ഷാഘാതം
struggling with,ബുദ്ധിമുട്ടുന്നു
stye,കണ്ണിലെ കുരു
suppository,ഗുദമാർഗ്ഗം നൽകുന്ന മരുന്ന്
surgery,ശസ്ത്രക്രിയ
surgical,ശസ്ത്രക്രിയ
suture,തുന്നൽ
swelling,വീക്കം
symptom,ലക്ഷണം
syncope,ബോധക്ഷയം
syndrome,ലക്ഷണങ്ങളുടെ കൂട്ടം
syringe,സിറിഞ്ച്
systemic,ശരീരത്തെ മുഴുവൻ ബാധിക്കുന്ന
tachycardia,കൂടിയ ഹൃദയമിടിപ്പ്
temperature,താപനില
tenderness,തൊടുമ്പോൾ അനുഭവപ്പെടുന്ന വേദന
tendon,ടെൻഡൺ
terminal,മാരകമായ
test,പരിശോധന
therapy,ചികിത്സ
thigh,തുട
throat,തൊണ്ട
thrombosis,രക്തം കട്ടപിടിക്കൽ
thyroid,തൈറോയ്ഡ്
tics,പേശികളുടെ ചലനം
tissue,കലകൾ
tolerance,സഹനശേഷി
tonsillitis,ടോൺസിലൈറ്റിസ്
topical,ത്വക്കിൽ പുരട്ടുന്ന
toxic,വിഷാംശമുള്ള
traditional,പരമ്പരാഗത
transfusion,രക്തം നൽകൽ
transplant,മാറ്റിവെക്കൽ
trauma,പരിക്ക്
treatment plan,ചികിത്സാ പദ്ധതി
tremor,വിറയൽ
tumor,മുഴ
type 2 diabetes,ടൈപ്പ് 2 പ്രമേഹം
ulcer,വ്രണം
ultrasound,അൾട്രാസൗണ്ട്
unconscious,അബോധാവസ്ഥ
underlying,അടിസ്ഥാനപരമായ
underwent,വിധേയനായി
urgent,അടിയന്തിര
urine,മൂത്രം
urology,മൂത്രരോഗ വിഭാഗം
uterus,ഗർഭപാത്രം
vaccination,കുത്തിവെപ്പ്
valve,വാൽവ്
varicose veins,വാരിക്കോസ് വെയിൻ
vascular,രക്തക്കുഴലുകളുമായി ബന്ധപ്പെട്ട
vein,സിര
ventricle,വെൻട്രിക്കിൾ
vertigo,തലകറക്കം
vestibular rehabilitation,വെസ്റ്റിബുലാർ പുനരധിവാസം
vial,മരുന്ന് കുപ്പി
viral infection,വൈറസ് അണുബാധ
virus,വൈറസ്
vision,കാഴ്ച
vomiting,ഛർദ്ദി
weakness,തളർച്ച
wheezing,വലിവ്
wound,മുറിവ്
wrist,മണിബന്ധം
x-ray,എക്സ്-റേ
yellowish,മഞ്ഞനിറത്തിലുള്ള
stable,നില മെച്ചപ്പെട്ടു
unstable,ഗുരുതരാവസ്ഥയിൽ
tolerated well,പ്രശ്നങ്ങളില്ലാതെ പൂർത്തിയാക്കി
as needed,ആവശ്യമെങ്കിൽ മാത്രം
bed rest,വിശ്രമം ആവശ്യമാണ്
follow instructions,നിർദ്ദേശങ്ങൾ പാലിക്കുക
discharged,ഡിസ്ചാർജ് ചെയ്തു
admitted,അഡ്മിറ്റ് ചെയ്തു
heart Rate,ഹൃദയമിടിപ്പ്
on room air,സാധാരണ നിലയിൽ
neurology clinic,ന്യൂറോളജി ക്ലിനിക്ക്
persistent knee pain,വിട്ടുമാറാത്ത മുട്ടുവേദന
climbing stairs,പടികൾ കയറുമ്പോൾ
walking long distances,ദീർഘദൂരം നടക്കുമ്പോൾ
Early-stage Osteoarthritis,പ്രാരംഭ ഘട്ടത്തിലുള്ള ഓസ്റ്റിയോ ആർത്രൈറ്റിസ്
Osteoarthritis,ഓസ്റ്റിയോ ആർത്രൈറ്റിസ്
knee pain,മുട്ടുവേദന
reported,റിപ്പോർട്ട് ചെയ്തു
high-grade fever,കടുത്ത പനി
sore throat,തൊണ്ടവേദന
difficulty swallowing,ഭക്ഷണം ഇറക്കാൻ പ്രയാസം
neck pain,കഴുത്തു വേദന
stiff neck,കഴുത്തിന് പിടുത്തം
early-stage,പ്രാരംഭ ഘട്ടത്തിലുള്ള
white patches,വെള്ള പാടുകൾ
enlarged tonsils,വീർത്ത ടോൺസിൽസ്
Acute Tonsillitis,അക്യൂട്ട് ടോൺസിലൈറ്റിസ്
full course,മരുന്നിന്റെ പൂർണ്ണ അളവ്
salt water gargling,ഉപ്പുവെള്ളം കവിൾക്കൊള്ളുന്നത്
subside,കുറയുക
medical review,ഡോക്ടറെ കാണുക
vital signs,ശാരീരിക ലക്ഷണങ്ങൾ
normal range,സാധാരണ നിലയിൽ
within limits,പരിധിക്കുള്ളിൽ
observation,നിരീക്ഷണം
referred to,വിദഗ്ദ്ധ പരിശോധനയ്ക്ക് നിർദ്ദേശിച്ചു
chief complaint,പ്രധാന ശാരീരിക ബുദ്ധിമുട്ട്
vestibular rehabilitation exercises,വെസ്റ്റിബുലാർ പുനരധിവാസ വ്യായാമങ്ങൾ
duration,കാലയളവ്
nerve block,നാഡി ബ്ലോക്ക്
HbA1c level,HbA1c ലെവൽ
progression,രോഗത്തിന്റെ മാറ്റം
risk factors,രോഗസാധ്യത വർദ്ധിപ്പിക്കുന്ന ഘടകങ്ങൾ
social history,സാമൂഹിക പശ്ചാത്തലം
mild peripheral neuropathy,പെരിഫറൽ ന്യൂറോപ്പതി
respiratory clinic,ശ്വസന സംബന്ധമായ ക്ലിനിക്കിൽ
active lifestyle,സജീവമായ ജീവിതശൈലി
cardiac health status,ഹൃദയാരോഗ്യ സ്ഥിതി
discharge summary,ഡിസ്ചാർജ് സംഗ്രഹം
dosage,മരുന്ന് അളവ്
drug allergy,മരുന്ന് അലർജി
dry cough,വരണ്ട ചുമ
family history,കുടുംബ രോഗചരിത്രം
fluid retention,ദ്രാവക ശേഖരണം
food poisoning,ഭക്ഷ്യവിഷബാധ
gastroenteritis,വയറ്റിളക്ക രോഗം
genetic disorder,ജനിതക രോഗം
immune system,പ്രതിരോധ വ്യവസ്ഥ
incurable,മാറ്റാനാകാത്ത
loss of appetite,വിശപ്പില്ലായ്മ
metabolic syndrome,മെറ്റബോളിക് സിൻഡ്രോം
oral hygiene,വായ്ശുചിത്വം
organ donation,അവയവ ദാനം
pelvic pain,ഇടുപ്പുവേദന
platelet count,പ്ലേറ്റ്ലെറ്റ് എണ്ണം
reproductive system,പ്രജനന വ്യവസ്ഥ
screening test,സ്ക്രീനിംഗ് പരിശോധന
skin allergy,ത്വക്ക് അലർജി
slipped disc,ഡിസ്‌ക് തെറ്റൽ
spinal injury,നട്ടെല്ല് പരിക്ക്
stomach ulcer,വയറ്റിലെ അൾസർ
surgical wound,ശസ്ത്രക്രിയ മുറിവ്
swab test,സ്വാബ് പരിശോധന
thyroid gland,തൈറോയ്ഡ് ഗ്രന്ഥി
side effects,പാർശ്വഫലങ്ങൾ
no medication,മരുന്നുകളൊന്നും
prescribed,നിർദ്ദേശിച്ചിട്ടില്ല
at present,നിലവിൽ
absence of,അഭാവം
vitals,ജീവാധാര ലക്ഷണങ്ങൾ
physical Examination,ശാരീരിക പരിശോധന
throbbing headache,അമിതമായ തലവേദന
Essential Hypertension,രക്താതിമർദ്ദം
bilateral pedal edema,രണ്ട് കാലുകളിലും നീർവീക്കം
പാപപ്രവർത്തകത്വം,സൈനസൈറ്റിസ്
ബാഡ്മിന്റൺ,ഓക്സിജൻ്റെ അളവ്
വിഷാദരോഗവും വയറിളക്കവും,തലകറക്കം
മാനേജ്മെന്റ് മാനേജ്മെന്റിൽ,ചികിത്സയുടെ ഭാഗമായി
പരാമീറ്റലിനും,പാരസെറ്റമോളിനും
നിർവചിക്കപ്പെടുന്നില്ല,നിർദ്ദേശിച്ചിട്ടില്ല
ആർദ്രത,തൊടുമ്പോഴുള്ള വേദന
അലർജിയുടെ ചരിത്രവും,അലർജി സംബന്ധമായ അസുഖങ്ങളും
രോഗനിർണ്ണയം നടത്തി,കണ്ടെത്തി
അൽബർ,നടുവിലെ
systolic pressure,സിസ്റ്റോളിക് മർദ്ദം
diastolic pressure,ഡയസ്റ്റോളിക് മർദ്ദം
respiratory rate,ശ്വസന നിരക്ക്
oxygen saturation level,രക്തത്തിലെ ഓക്സിജന്റെ അളവ്
fasting blood sugar,ഭക്ഷണം കഴിക്കുന്നതിന് മുൻപുള്ള പഞ്ചസാരയുടെ അളവ്
postprandial blood sugar,ഭക്ഷണത്തിന് ശേഷമുള്ള പഞ്ചസാരയുടെ അളവ്
lipid profile,കൊഴുപ്പിന്റെ അളവ് പരിശോധിക്കുന്ന ടെസ്റ്റ്
thyroid function test,തൈറോയ്ഡ് പരിശോധന
complete blood count,രക്തകോശങ്ങളുടെ ആകെ എണ്ണം
liver enzymes,കരൾ എൻസൈമുകൾ
renal function test,വൃക്കയുടെ പ്രവർത്തന പരിശോധന
uiralysis,മൂത്രപരിശോധന
c-reactive protein,സി-റിയാക്ടീവ് പ്രോട്ടീൻ
erythrocyte sedimentation rate,ഇ.എസ്.ആർ (ESR)
tuberculin skin test,ക്ഷയരോഗ പരിശോധന
chronic obstructive pulmonary disease,വിട്ടുമാറാത്ത ശ്വാസകോശ തടസ്സരോഗം (COPD)
congestive heart failure,ഹൃദയസ്തംഭനം
rheumatoid arthritis,വാതം 
peptic ulcer disease,അൾസർ
irritable bowel syndrome,ഐ.ബി.എസ് (കുടൽ സംബന്ധമായ അസുഖം)
polycystic ovary syndrome,പി.സി.ഓ.എസ് (അണ്ഡാശയത്തിലെ മുഴകൾ)
benign prostatic hyperplasia,പ്രോസ്റ്റേറ്റ് ഗ്രന്ഥിയുടെ വീക്കം
alzheimer s disease,അൽഷിമേഴ്സ് (മറവിരോഗം)
parkinson s disease,പാർക്കിൻസൺസ് രോഗം
hypothyroidism,തൈറോയ്ഡ് കുറഞ്ഞ അവസ്ഥ
hyperthyroidism,തൈറോയ്ഡ് കൂടിയ അവസ്ഥ
piles,മൂലക്കുരു
kidney stones,വൃക്കയിലെ കല്ല്
palpable mass,തൊട്ടുനോക്കുമ്പോൾ അനുഭവപ്പെടുന്ന മുഴ
burning sensation,നീറ്റൽ
tingling sensation,തരിപ്പ്
sharp pain,ശക്തമായ വേദന
dull ache,നേരിയ വേദന
bloody stools,മലത്തിലൂടെ രക്തം പോകുക
productive cough,കഫത്തോടു കൂടിയ ചുമ
nocturnal cough,രാത്രികാലങ്ങളിലെ ചുമ
shortness of breath,ശ്വാസംമുട്ടൽ
